Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission
normal,female,vegan,daily,natural gas,private,none,often,151.36,rarely,1827.0,large,8,8.2,0,10.6,Yes,3569.15
normal,male,vegetarian,less frequently,natural gas,private,diesel,often,668.91,rarely,2422.0,extra large,1,6.0,4,3.0,Sometimes,3738.21
underweight,male,omnivore,less frequently,electricity,public,petrol,sometimes,505.74,frequently,1152.0,extra large,3,2.9,0,3.7,No,3210.9
normal,male,omnivore,twice a day,natural gas,walk/bicycle,petrol,sometimes,265.03,never,1416.0,extra large,7,5.1,2,10.0,No,2135.54
underweight,female,pescatarian,less frequently,electricity,public,petrol,sometimes,726.28,rarely,2607.0,small,5,7.2,5,7.0,Sometimes,2543.93
normal,male,omnivore,less frequently,coal,walk/bicycle,electric,never,131.68,never,1245.0,large,9,8.5,5,11.1,No,2680.04
overweight,male,omnivore,daily,wood,public,diesel,sometimes,241.27,very frequently,1604.0,small,1,9.6,2,11.8,Sometimes,4871.65
underweight,male,omnivore,daily,coal,public,electric,sometimes,626.43,never,61.0,medium,7,6.4,3,4.8,Yes,3334.82
obese,female,omnivore,less frequently,coal,private,hybrid,never,596.56,never,476.0,medium,6,5.7,6,2.1,No,4501.02
underweight,male,vegan,twice a day,wood,public,electric,sometimes,302.49,rarely,1925.0,extra large,4,1.2,5,8.7,No,1838.02
normal,female,omnivore,daily,wood,public,none,often,143.42,frequently,2151.0,small,6,1.6,1,11.2,Sometimes,3279.1
normal,male,pescatarian,daily,wood,public,none,often,700.65,rarely,1748.0,extra large,9,2.4,8,2.8,Yes,2860.31
normal,female,omnivore,more frequently,coal,private,diesel,often,319.59,never,430.0,extra large,9,1.5,5,11.8,No,4262.11
obese,male,omnivore,less frequently,natural gas,private,electric,never,237.0,never,1336.0,extra large,2,4.6,1,3.2,No,3994.72
obese,male,omnivore,more frequently,coal,private,electric,sometimes,461.24,frequently,1065.0,extra large,9,4.0,6,1.9,Yes,5596.15
normal,female,omnivore,less frequently,natural gas,private,petrol,often,737.16,very frequently,1487.0,extra large,2,6.7,9,6.5,Yes,7541.5
overweight,female,vegan,twice a day,electricity,private,diesel,never,130.48,frequently,2611.0,medium,6,5.8,9,9.9,Sometimes,4666.91
underweight,male,vegetarian,more frequently,coal,public,petrol,never,636.06,rarely,2328.0,large,7,6.4,3,4.9,No,2833.04
normal,female,vegan,daily,wood,private,diesel,never,500.73,very frequently,252.0,large,9,5.2,0,4.7,No,5044.09
overweight,male,vegetarian,less frequently,coal,private,diesel,never,397.81,rarely,2671.0,large,6,3.5,9,3.2,Yes,4406.0
obese,female,omnivore,less frequently,coal,private,electric,never,620.86,rarely,1415.0,medium,8,9.6,8,11.8,Yes,4829.2
normal,male,vegan,more frequently,wood,public,petrol,often,776.08,rarely,2232.0,small,3,1.8,9,4.8,No,2124.63
underweight,female,omnivore,more frequently,electricity,private,hybrid,never,260.44,rarely,420.0,medium,6,9.5,7,8.3,Yes,4350.84
underweight,male,omnivore,twice a day,electricity,private,petrol,sometimes,200.55,frequently,2012.0,medium,2,3.8,4,2.5,Sometimes,4934.93
obese,male,omnivore,daily,electricity,public,hybrid,often,739.02,rarely,709.0,small,1,5.6,2,5.9,Sometimes,3113.32
normal,female,omnivore,twice a day,electricity,private,none,never,568.27,rarely,1315.0,extra large,6,2.0,3,9.8,Yes,4106.76
normal,female,omnivore,daily,coal,walk/bicycle,diesel,often,406.59,never,51.0,extra large,3,1.6,2,11.7,No,2426.48
normal,male,omnivore,daily,coal,walk/bicycle,petrol,often,501.28,never,455.0,extra large,5,4.9,9,3.0,Yes,2594.8
overweight,male,vegetarian,less frequently,wood,private,diesel,sometimes,621.93,rarely,276.0,small,6,7.7,7,2.0,No,3715.6
overweight,male,omnivore,daily,natural gas,private,petrol,never,641.12,never,719.0,medium,6,3.4,4,11.9,Sometimes,3772.38
normal,female,omnivore,more frequently,wood,public,none,sometimes,743.93,never,300.0,medium,7,6.1,7,7.1,Sometimes,3112.92
underweight,male,omnivore,less frequently,electricity,private,petrol,never,398.79,rarely,2076.0,small,7,3.5,0,4.8,Sometimes,3697.91
overweight,female,omnivore,twice a day,natural gas,private,none,never,305.39,rarely,87.0,extra large,6,4.5,8,11.6,No,4476.54
underweight,female,vegetarian,daily,wood,private,diesel,often,547.76,frequently,1853.0,small,1,9.2,9,5.3,Yes,4890.69
overweight,female,omnivore,less frequently,electricity,walk/bicycle,electric,never,391.01,rarely,422.0,medium,8,8.7,2,3.6,No,2398.93
obese,female,vegan,more frequently,natural gas,private,hybrid,often,516.22,frequently,2835.0,large,4,5.6,0,9.8,No,4613.16
obese,female,vegetarian,twice a day,natural gas,public,diesel,sometimes,393.99,very frequently,2799.0,large,1,3.1,2,4.5,Sometimes,4489.09
obese,female,omnivore,less frequently,electricity,public,electric,never,207.1,frequently,677.0,large,2,2.7,1,4.5,Yes,3232.8
underweight,female,omnivore,less frequently,natural gas,private,diesel,never,428.6,rarely,1843.0,extra large,3,9.6,6,5.9,No,4997.06
underweight,female,vegetarian,more frequently,wood,private,diesel,sometimes,583.64,rarely,84.0,extra large,6,2.8,9,8.6,Yes,3610.92
normal,male,pescatarian,more frequently,wood,walk/bicycle,petrol,sometimes,659.5,very frequently,2795.0,extra large,2,8.3,3,10.3,No,4994.13
normal,male,pescatarian,daily,wood,private,none,often,445.33,never,1569.0,extra large,2,4.3,6,3.5,No,3921.38
obese,female,vegetarian,twice a day,natural gas,public,none,sometimes,215.67,never,130.0,small,6,9.9,2,5.0,Sometimes,2133.04
obese,male,omnivore,less frequently,natural gas,private,petrol,never,390.28,rarely,1027.0,large,4,4.3,5,6.5,Sometimes,4249.34
overweight,female,omnivore,more frequently,electricity,private,petrol,often,650.41,never,231.0,large,5,4.2,6,1.3,Sometimes,4039.65
obese,female,omnivore,more frequently,electricity,private,diesel,sometimes,389.0,very frequently,1179.0,extra large,8,6.7,6,8.7,Yes,6359.55
obese,female,vegetarian,less frequently,natural gas,private,none,never,587.57,rarely,2010.0,extra large,3,9.7,4,7.2,No,4423.99
obese,female,pescatarian,more frequently,wood,private,diesel,never,455.05,rarely,1410.0,small,5,9.8,5,2.5,Sometimes,3742.36
underweight,female,omnivore,more frequently,natural gas,public,electric,never,268.86,rarely,1151.0,small,1,7.4,2,2.4,Yes,3053.84
underweight,female,omnivore,daily,coal,private,electric,sometimes,657.31,rarely,357.0,small,4,7.8,3,10.8,Yes,4797.42
obese,female,omnivore,less frequently,wood,private,petrol,often,158.95,never,735.0,large,5,6.1,5,8.5,No,3956.5
overweight,female,omnivore,daily,coal,private,none,sometimes,467.42,rarely,300.0,large,4,7.8,2,5.3,Sometimes,4829.24
overweight,female,pescatarian,twice a day,electricity,public,electric,often,246.22,frequently,2422.0,large,9,8.7,6,4.7,Sometimes,3258.06
normal,male,pescatarian,more frequently,natural gas,private,none,sometimes,146.95,rarely,406.0,large,8,5.4,2,4.5,Sometimes,3579.26
obese,male,vegetarian,daily,coal,public,none,never,452.05,frequently,1786.0,small,2,6.6,8,8.2,Sometimes,4010.06
underweight,male,omnivore,less frequently,natural gas,private,hybrid,sometimes,449.69,never,1028.0,extra large,9,5.8,3,3.0,Yes,4405.55
obese,male,omnivore,twice a day,coal,private,electric,often,594.83,never,678.0,large,2,6.1,1,11.9,Sometimes,4364.15
overweight,female,pescatarian,twice a day,natural gas,private,electric,sometimes,621.33,never,1918.0,small,6,9.0,5,8.6,Sometimes,4492.19
underweight,female,vegetarian,daily,wood,public,diesel,often,609.45,rarely,1371.0,extra large,2,4.2,8,2.4,Yes,2520.85
underweight,female,omnivore,daily,electricity,private,diesel,sometimes,386.69,frequently,1200.0,medium,6,2.9,9,2.5,No,4952.96
underweight,male,vegetarian,more frequently,wood,private,none,often,542.18,frequently,1779.0,extra large,6,5.1,9,8.1,No,4974.64
normal,male,omnivore,daily,electricity,private,petrol,never,503.86,rarely,1474.0,medium,7,2.9,1,5.2,Yes,3910.23
obese,male,omnivore,daily,wood,public,diesel,never,395.09,rarely,910.0,medium,5,5.5,3,8.3,Yes,2684.88
obese,male,omnivore,daily,electricity,private,diesel,often,518.05,frequently,1677.0,large,3,9.1,4,8.9,Sometimes,5234.37
obese,male,omnivore,twice a day,wood,private,none,never,763.07,never,2008.0,small,2,6.6,8,6.9,No,4666.49
overweight,female,omnivore,less frequently,natural gas,private,electric,often,235.03,never,80.0,extra large,4,8.7,6,3.8,No,4215.08
underweight,female,omnivore,daily,wood,private,diesel,often,734.04,very frequently,1398.0,medium,1,2.5,4,7.1,Sometimes,6643.77
underweight,female,pescatarian,twice a day,coal,public,petrol,never,137.42,rarely,173.0,small,2,9.1,5,5.6,Sometimes,3399.07
overweight,male,omnivore,twice a day,coal,public,none,sometimes,315.87,very frequently,559.0,extra large,8,6.4,8,10.8,Sometimes,5886.29
normal,female,omnivore,daily,natural gas,private,electric,often,301.7,rarely,1682.0,large,5,1.3,3,9.1,Sometimes,4230.1
overweight,male,vegan,twice a day,natural gas,private,hybrid,sometimes,538.46,frequently,2599.0,extra large,5,6.7,1,7.8,Yes,4928.72
underweight,female,omnivore,more frequently,natural gas,private,petrol,sometimes,191.86,never,2648.0,large,3,9.6,4,1.4,Yes,4252.14
normal,male,omnivore,less frequently,coal,private,electric,never,717.64,never,210.0,extra large,1,1.7,6,11.9,Sometimes,4704.94
normal,female,vegetarian,more frequently,wood,private,none,often,679.99,rarely,1257.0,extra large,6,6.2,3,7.2,No,3945.6
underweight,male,omnivore,less frequently,natural gas,public,hybrid,sometimes,556.45,rarely,1749.0,medium,1,9.2,0,3.8,No,3138.58
overweight,female,omnivore,twice a day,wood,walk/bicycle,petrol,sometimes,420.89,never,441.0,medium,4,1.1,7,7.5,No,2035.27
obese,male,omnivore,daily,electricity,walk/bicycle,diesel,never,753.07,never,2296.0,medium,4,6.7,4,10.0,No,2452.84
obese,female,omnivore,daily,wood,public,diesel,never,681.52,never,2233.0,large,3,5.3,9,6.9,No,2960.99
obese,female,vegan,twice a day,wood,public,petrol,sometimes,449.52,frequently,2710.0,extra large,4,4.1,1,9.5,Sometimes,3084.05
overweight,female,vegetarian,daily,coal,public,diesel,sometimes,591.31,rarely,25.0,extra large,6,6.6,2,5.5,No,2866.78
underweight,male,pescatarian,twice a day,wood,private,none,never,496.85,never,650.0,large,6,1.5,9,7.5,Yes,3260.27
overweight,male,vegetarian,more frequently,coal,public,petrol,never,511.56,never,2482.0,extra large,6,7.8,9,5.6,Yes,3103.9
obese,female,vegetarian,twice a day,electricity,private,petrol,never,331.68,never,2012.0,medium,6,1.0,4,6.8,No,4029.14
obese,female,omnivore,twice a day,coal,private,diesel,often,423.46,rarely,2683.0,large,4,3.8,3,2.8,Yes,4746.11
obese,female,vegetarian,more frequently,electricity,public,petrol,never,154.69,never,172.0,large,7,5.5,8,7.6,Sometimes,2172.44
overweight,male,omnivore,more frequently,electricity,private,hybrid,never,350.14,frequently,1791.0,extra large,7,4.4,8,11.8,No,5347.52
overweight,male,vegetarian,twice a day,natural gas,private,petrol,never,587.08,never,1707.0,medium,2,3.8,7,9.4,Sometimes,3459.03
obese,female,vegetarian,more frequently,wood,walk/bicycle,diesel,often,767.25,never,107.0,extra large,6,8.5,1,4.5,Yes,1838.3
normal,female,omnivore,less frequently,wood,private,diesel,often,774.14,frequently,1541.0,extra large,5,9.4,4,10.5,No,5179.24
obese,male,omnivore,more frequently,natural gas,private,diesel,never,489.01,frequently,1829.0,large,1,8.9,7,10.9,Sometimes,5535.25
underweight,male,omnivore,daily,natural gas,walk/bicycle,diesel,never,524.64,never,574.0,large,3,5.7,7,2.9,Sometimes,2208.92
overweight,male,omnivore,more frequently,wood,public,none,often,230.0,frequently,820.0,small,9,9.0,6,1.6,Sometimes,3876.72
normal,female,vegetarian,more frequently,natural gas,private,diesel,often,586.72,rarely,1921.0,extra large,9,9.3,3,7.3,Sometimes,4005.96
normal,male,vegetarian,twice a day,natural gas,private,hybrid,sometimes,149.46,frequently,1405.0,small,9,4.7,2,6.2,Sometimes,4875.21
underweight,male,omnivore,more frequently,electricity,private,petrol,often,299.28,rarely,2574.0,extra large,5,3.6,7,8.9,Yes,3968.17
obese,female,omnivore,less frequently,natural gas,public,electric,often,567.85,rarely,1027.0,small,6,1.9,7,4.2,No,3431.5
obese,male,omnivore,twice a day,natural gas,public,electric,never,317.22,very frequently,800.0,extra large,9,5.3,9,5.2,Sometimes,5560.18
obese,male,omnivore,less frequently,coal,private,none,never,134.89,never,2955.0,large,4,9.5,4,3.9,Sometimes,4398.66
underweight,female,omnivore,daily,wood,private,electric,never,682.31,rarely,2733.0,large,4,6.0,2,4.2,Yes,4079.06
overweight,male,omnivore,twice a day,coal,private,diesel,often,317.23,rarely,87.0,small,9,7.0,4,1.1,No,4545.0
overweight,female,vegan,twice a day,natural gas,walk/bicycle,electric,sometimes,144.17,never,2312.0,small,7,2.0,3,6.6,No,1632.79
underweight,female,omnivore,daily,natural gas,private,hybrid,never,152.35,never,331.0,small,6,2.3,7,6.2,No,3768.72
overweight,female,omnivore,daily,coal,public,diesel,sometimes,276.23,never,82.0,medium,6,5.2,1,4.9,No,2602.71
underweight,female,pescatarian,less frequently,natural gas,private,electric,sometimes,224.61,rarely,821.0,small,5,9.6,7,6.9,No,4413.26
underweight,male,omnivore,more frequently,electricity,public,diesel,often,642.01,rarely,808.0,small,4,4.2,9,5.3,Yes,2851.38
normal,female,vegan,twice a day,coal,walk/bicycle,none,often,325.18,rarely,2458.0,small,3,8.9,5,5.8,Sometimes,2591.31
normal,male,vegan,twice a day,coal,public,hybrid,never,663.29,never,2132.0,medium,7,2.1,3,1.0,No,2811.21
overweight,male,omnivore,less frequently,wood,private,petrol,often,221.69,rarely,2945.0,medium,5,6.6,2,1.7,No,4065.33
normal,male,omnivore,twice a day,coal,public,diesel,sometimes,445.02,very frequently,2135.0,extra large,2,6.4,9,2.7,Sometimes,5661.69
overweight,male,omnivore,daily,electricity,public,hybrid,often,581.63,rarely,1255.0,large,3,8.7,4,3.0,Sometimes,3169.07
underweight,female,omnivore,twice a day,natural gas,private,none,often,556.39,rarely,2097.0,small,5,1.0,5,6.0,No,4483.77
overweight,male,omnivore,more frequently,coal,public,none,sometimes,520.79,frequently,2998.0,small,9,2.7,0,10.6,Yes,4154.72
normal,male,pescatarian,daily,coal,public,hybrid,often,747.38,frequently,2130.0,large,6,3.0,0,5.5,Sometimes,4303.43
overweight,male,omnivore,less frequently,wood,public,electric,often,259.97,rarely,2285.0,extra large,2,9.5,9,7.9,Sometimes,3142.52
normal,female,omnivore,less frequently,wood,public,hybrid,never,445.6,frequently,2815.0,extra large,8,2.4,2,1.3,Yes,3851.39
underweight,male,omnivore,twice a day,natural gas,private,electric,sometimes,718.79,rarely,341.0,small,6,1.3,1,10.4,Sometimes,3907.28
obese,male,vegan,daily,coal,private,electric,often,154.53,frequently,2114.0,large,6,5.8,0,2.2,Sometimes,4635.81
underweight,male,omnivore,daily,electricity,private,hybrid,sometimes,139.12,never,2552.0,small,8,5.8,7,4.1,No,3799.62
normal,male,omnivore,daily,natural gas,walk/bicycle,none,often,263.31,never,2863.0,small,7,8.6,0,10.0,Sometimes,2323.16
overweight,female,omnivore,twice a day,electricity,public,petrol,never,543.11,never,633.0,small,5,9.5,9,3.9,Sometimes,2694.18
normal,female,vegan,twice a day,coal,public,petrol,often,281.92,frequently,1512.0,large,9,5.8,7,3.8,Yes,3914.42
normal,female,omnivore,less frequently,natural gas,private,hybrid,often,233.17,rarely,2042.0,large,1,9.4,4,7.6,Sometimes,4352.37
obese,female,pescatarian,more frequently,wood,private,diesel,sometimes,421.16,never,742.0,extra large,4,7.5,3,10.9,Yes,3471.66
overweight,female,vegetarian,daily,wood,public,hybrid,often,529.52,never,1801.0,large,9,3.4,7,3.4,Yes,2676.15
normal,male,omnivore,twice a day,electricity,private,petrol,sometimes,273.99,very frequently,773.0,large,2,9.4,7,7.8,Yes,6392.18
underweight,female,pescatarian,twice a day,natural gas,private,hybrid,never,310.48,frequently,1000.0,large,3,7.0,7,7.6,Sometimes,4870.31
underweight,female,omnivore,more frequently,electricity,public,none,sometimes,529.49,rarely,1325.0,medium,3,4.7,2,8.3,Yes,3046.75
normal,male,pescatarian,twice a day,wood,private,petrol,often,762.02,rarely,1588.0,extra large,6,7.1,7,11.4,No,4266.2
normal,female,pescatarian,twice a day,coal,private,petrol,sometimes,572.32,rarely,1348.0,large,3,4.6,0,2.8,Sometimes,4335.14
normal,male,omnivore,twice a day,wood,private,petrol,never,648.03,rarely,1480.0,small,3,2.0,3,8.2,Sometimes,4357.25
normal,female,omnivore,daily,coal,private,none,often,356.77,very frequently,896.0,medium,5,7.5,4,3.0,Yes,7312.28
underweight,male,vegetarian,more frequently,electricity,walk/bicycle,petrol,never,290.58,never,477.0,medium,3,8.4,5,4.5,Yes,1312.83
obese,male,omnivore,less frequently,electricity,private,diesel,never,417.99,rarely,142.0,extra large,5,7.6,4,5.3,Yes,4370.49
normal,female,omnivore,more frequently,electricity,private,petrol,often,664.99,rarely,588.0,medium,3,3.1,4,10.2,Yes,3789.1
overweight,male,omnivore,more frequently,coal,private,hybrid,often,419.41,rarely,1746.0,medium,2,9.6,4,1.6,No,4682.64
obese,female,omnivore,less frequently,electricity,public,diesel,sometimes,692.71,rarely,2358.0,extra large,8,1.2,8,9.1,Sometimes,2902.58
underweight,female,pescatarian,less frequently,electricity,private,electric,often,792.14,rarely,508.0,large,3,4.0,9,11.0,Yes,4051.47
normal,female,omnivore,twice a day,natural gas,public,petrol,sometimes,150.42,never,326.0,extra large,6,3.3,9,1.9,No,2597.04
normal,female,omnivore,twice a day,coal,private,electric,never,131.79,rarely,2248.0,small,2,1.4,2,9.7,Yes,4867.09
normal,male,omnivore,twice a day,electricity,private,electric,sometimes,204.71,never,915.0,large,1,4.7,1,2.2,No,3756.96
normal,male,pescatarian,daily,electricity,private,none,often,369.06,never,2854.0,large,8,6.6,9,11.6,Sometimes,3908.48
overweight,male,omnivore,daily,coal,public,hybrid,sometimes,191.73,never,2143.0,medium,3,8.9,1,10.0,No,2859.47
normal,male,pescatarian,more frequently,coal,public,hybrid,often,709.47,frequently,980.0,large,2,9.9,7,8.6,Yes,4581.24
underweight,male,omnivore,daily,wood,private,electric,never,116.2,rarely,869.0,medium,2,8.3,4,7.1,Sometimes,4145.01
overweight,female,vegan,daily,wood,private,none,sometimes,321.05,rarely,1571.0,large,5,5.2,4,11.1,Yes,3419.3
obese,male,omnivore,less frequently,natural gas,walk/bicycle,diesel,sometimes,229.29,frequently,237.0,extra large,6,7.5,5,2.3,Sometimes,3414.64
obese,male,omnivore,twice a day,electricity,private,petrol,sometimes,752.08,rarely,353.0,medium,2,8.6,8,2.3,Yes,4397.72
obese,male,omnivore,less frequently,coal,public,diesel,sometimes,568.64,rarely,528.0,extra large,6,5.2,6,10.0,No,3692.36
normal,male,vegan,twice a day,electricity,private,petrol,never,738.42,rarely,2324.0,medium,1,8.1,4,6.3,Sometimes,4005.53
obese,male,vegetarian,more frequently,wood,walk/bicycle,electric,often,780.63,rarely,1542.0,medium,9,5.3,4,10.3,No,1939.86
overweight,female,omnivore,less frequently,wood,public,none,sometimes,447.97,rarely,32.0,medium,4,4.5,9,5.3,No,2813.65
overweight,male,pescatarian,twice a day,wood,walk/bicycle,none,never,264.02,rarely,2021.0,large,5,5.7,8,6.0,Yes,2178.16
obese,female,vegetarian,less frequently,coal,public,hybrid,often,235.61,frequently,1271.0,large,3,7.1,8,4.7,Sometimes,3886.53
obese,female,omnivore,less frequently,electricity,private,hybrid,never,256.04,frequently,1533.0,extra large,6,7.5,1,11.5,No,5121.63
overweight,male,omnivore,twice a day,coal,walk/bicycle,diesel,sometimes,596.02,never,642.0,small,1,4.2,6,6.1,Yes,2503.2
underweight,female,omnivore,daily,electricity,private,hybrid,sometimes,128.31,never,1655.0,extra large,7,6.1,9,9.3,Yes,3750.93
obese,male,omnivore,less frequently,natural gas,private,petrol,never,135.95,rarely,2937.0,small,8,9.2,0,8.7,No,4309.6
overweight,male,vegetarian,more frequently,wood,public,none,sometimes,525.7,rarely,220.0,medium,3,9.8,3,3.6,No,2484.06
obese,male,vegan,daily,wood,public,none,sometimes,549.44,never,852.0,small,2,3.0,1,11.1,No,1525.56
overweight,male,pescatarian,less frequently,wood,walk/bicycle,electric,never,565.68,frequently,729.0,small,4,2.7,9,7.0,Yes,3083.93
normal,male,omnivore,more frequently,wood,private,electric,often,360.32,never,746.0,medium,8,7.1,8,10.4,Sometimes,3936.16
obese,male,omnivore,more frequently,coal,public,diesel,never,664.16,very frequently,1136.0,extra large,8,4.7,5,10.2,Yes,5979.71
obese,female,pescatarian,twice a day,wood,public,electric,never,473.54,frequently,2454.0,medium,8,1.2,3,1.6,No,3399.18
underweight,male,vegetarian,daily,electricity,private,petrol,sometimes,173.83,frequently,2739.0,medium,2,4.1,2,7.8,Yes,4191.03
underweight,female,vegetarian,daily,electricity,private,hybrid,often,657.97,never,607.0,small,4,8.3,3,9.7,Sometimes,3130.78
underweight,female,vegetarian,twice a day,wood,private,hybrid,sometimes,767.15,never,1629.0,medium,1,8.2,1,11.0,Yes,3500.98
underweight,male,pescatarian,less frequently,wood,private,diesel,never,142.03,rarely,1911.0,extra large,7,5.5,4,6.6,Yes,3765.14
obese,female,omnivore,less frequently,coal,walk/bicycle,hybrid,often,373.95,never,1565.0,small,6,5.3,8,9.3,Yes,3140.41
obese,female,omnivore,more frequently,coal,public,none,often,441.26,rarely,1302.0,extra large,7,6.2,5,11.7,Yes,3729.71
underweight,female,vegetarian,more frequently,electricity,public,hybrid,sometimes,202.53,rarely,576.0,medium,5,3.0,1,10.1,Yes,1612.58
underweight,female,pescatarian,more frequently,electricity,walk/bicycle,electric,often,707.4,never,1465.0,extra large,6,5.7,5,10.4,No,2270.99
obese,male,omnivore,more frequently,natural gas,private,none,never,298.9,never,1204.0,extra large,6,1.1,8,5.5,Sometimes,4389.95
normal,male,omnivore,twice a day,electricity,public,electric,often,648.11,frequently,2387.0,medium,6,5.3,3,2.0,No,3705.56
overweight,female,pescatarian,less frequently,natural gas,private,electric,never,569.7,never,2291.0,large,9,4.0,0,11.6,Yes,4033.9
underweight,male,omnivore,more frequently,wood,public,diesel,never,518.63,never,402.0,extra large,4,7.1,1,8.7,Yes,2332.96
overweight,male,omnivore,daily,wood,private,diesel,never,234.5,rarely,266.0,large,2,6.7,4,2.9,Yes,4190.12
normal,female,omnivore,more frequently,wood,walk/bicycle,none,sometimes,254.49,very frequently,2724.0,medium,9,4.4,9,11.7,Sometimes,5614.55
normal,female,pescatarian,more frequently,electricity,private,hybrid,sometimes,133.14,rarely,1607.0,large,7,1.1,6,8.9,No,3746.17
normal,male,pescatarian,less frequently,electricity,private,petrol,sometimes,268.5,never,2573.0,large,5,3.3,7,2.0,No,3601.55
