Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,Model_81,PICKUP TRUCK,4.5,8,AM,Z,13.7,10.7,12.3,19.0,288
Honda,Model_82,SUV - SMALL,2.5,8,AS,N,7.7,6.0,7.0,34.0,163
GM,Model_83,MINIVAN,5.1,6,AV,D,11.6,9.0,10.4,23.0,276
Toyota,Model_84,TWO-SEATER,5.9,4,AM,X,16.2,12.7,14.6,16.0,337
Mercedes,Model_85,FULL-SIZE,4.5,4,AS,Z,11.9,9.3,10.8,22.0,257
Hyundai,Model_86,COMPACT,4.5,4,A,Z,11.4,8.9,10.3,23.0,236
Ford,Model_87,SUV - SMALL,6.4,8,A,D,15.2,11.9,13.7,17.0,359
Honda,Model_88,MINIVAN,1.0,4,M,Z,4.1,3.2,3.7,64.0,94
BMW,Model_89,MID-SIZE,4.0,4,AS,E,14.8,11.5,13.3,18.0,299
GM,Model_90,MINIVAN,6.3,4,M,D,15.1,11.8,13.6,17.0,361
Hyundai,Model_91,MINIVAN,3.9,4,M,Z,10.5,8.2,9.5,25.0,212
Ford,Model_92,MID-SIZE,2.7,4,M,E,11.1,8.6,10.0,24.0,237
GM,Model_93,MINIVAN,3.4,4,M,Z,8.1,6.4,7.3,32.0,174
Toyota,Model_94,PICKUP TRUCK,2.6,4,A,X,7.4,5.8,6.7,35.0,158
Honda,Model_95,MINIVAN,2.9,8,AM,X,10.1,7.9,9.1,26.0,217
BMW,Model_96,COMPACT,3.4,4,AV,N,9.5,7.4,8.6,27.0,197
GM,Model_97,SUV - SMALL,6.2,4,AV,X,15.9,12.4,14.4,16.0,324
Toyota,Model_98,STATION WAGON,2.4,3,AS,E,8.2,6.4,7.4,32.0,167
Honda,Model_99,SUV - SMALL,1.3,4,AM,Z,4.5,3.5,4.1,57.0,87
Honda,Model_100,PICKUP TRUCK,4.0,8,AS,X,13.0,10.2,11.7,20.0,261
Mercedes,Model_101,COMPACT,1.4,6,A,Z,4.8,3.7,4.3,55.0,95
Honda,Model_102,COMPACT,2.5,4,AV,E,9.0,7.0,8.1,29.0,189
Hyundai,Model_103,MINIVAN,3.0,8,AM,X,10.5,8.2,9.5,25.0,212
Honda,Model_104,FULL-SIZE,3.2,6,AS,X,8.7,6.8,7.8,30.0,173
Hyundai,Model_105,MINIVAN,2.9,6,A,X,10.3,8.1,9.3,25.0,223
Honda,Model_106,SUV - SMALL,1.9,4,AV,X,5.9,4.6,5.3,44.0,116
Ford,Model_107,SUV - SMALL,2.6,8,A,D,7.7,6.0,6.9,34.0,187
Hyundai,Model_108,TWO-SEATER,5.6,4,AV,X,16.4,12.8,14.8,16.0,339
Hyundai,Model_109,FULL-SIZE,2.2,4,M,N,6.2,4.8,5.6,42.0,134
VW,Model_110,FULL-SIZE,1.5,4,AM,X,5.8,4.5,5.2,45.0,123
Toyota,Model_111,SUV - STANDARD,2.1,4,AS,E,7.8,6.1,7.0,34.0,154
Ford,Model_112,MID-SIZE,4.1,4,AS,X,11.5,9.0,10.4,23.0,243
Toyota,Model_113,FULL-SIZE,1.1,6,AV,X,4.0,3.0,3.5,67.0,79
Ford,Model_114,MID-SIZE,3.1,4,A,X,8.6,6.7,7.7,31.0,185
Honda,Model_115,MID-SIZE,6.0,6,AM,E,20.9,16.3,18.8,13.0,432
Hyundai,Model_116,SUV - STANDARD,1.5,4,AV,E,5.0,3.9,4.5,52.0,95
Mercedes,Model_117,FULL-SIZE,3.4,4,AV,X,10.4,8.1,9.4,25.0,220
Mercedes,Model_118,MID-SIZE,5.5,4,AM,D,13.1,10.2,11.8,20.0,312
Ford,Model_119,MINIVAN,4.5,4,A,X,12.0,9.3,10.8,22.0,255
VW,Model_120,COMPACT,4.0,4,AV,Z,11.7,9.1,10.6,22.0,241
Toyota,Model_121,STATION WAGON,1.9,8,AS,Z,6.9,5.4,6.2,38.0,143
Honda,Model_122,MID-SIZE,5.5,8,M,Z,15.6,12.2,14.1,17.0,323
BMW,Model_123,COMPACT,1.5,4,M,X,5.8,4.5,5.2,45.0,121
Honda,Model_124,SUV - SMALL,4.4,4,AM,X,12.4,9.6,11.1,21.0,259
BMW,Model_125,STATION WAGON,2.5,4,AS,D,7.4,5.8,6.7,35.0,170
Mercedes,Model_126,TWO-SEATER,3.1,6,M,N,9.0,7.0,8.1,29.0,194
Mercedes,Model_127,FULL-SIZE,6.0,4,A,X,15.8,12.3,14.2,17.0,320
Ford,Model_128,TWO-SEATER,3.5,8,AV,E,13.9,10.9,12.5,19.0,286
BMW,Model_129,PICKUP TRUCK,2.0,4,AS,Z,6.6,5.1,5.9,40.0,137
BMW,Model_130,MINIVAN,1.5,8,A,X,6.1,4.8,5.5,43.0,127
GM,Model_131,FULL-SIZE,4.7,6,A,X,12.5,9.8,11.3,21.0,259
Ford,Model_132,MINIVAN,3.1,4,AV,Z,8.1,6.4,7.3,32.0,172
VW,Model_133,PICKUP TRUCK,3.5,6,AV,Z,10.2,7.9,9.2,26.0,219
Ford,Model_134,MINIVAN,1.7,4,AM,Z,4.7,3.7,4.2,56.0,100
BMW,Model_135,STATION WAGON,2.3,4,AM,Z,6.3,4.9,5.6,42.0,127
Mercedes,Model_136,FULL-SIZE,2.7,8,M,X,11.0,8.6,9.9,24.0,231
Ford,Model_137,SUV - SMALL,4.3,4,AM,X,12.9,10.0,11.6,20.0,262
VW,Model_138,COMPACT,6.5,8,M,Z,18.5,14.4,16.7,14.0,393
GM,Model_139,PICKUP TRUCK,6.4,4,M,X,16.2,12.6,14.6,16.0,345
Toyota,Model_140,STATION WAGON,2.1,4,AV,D,5.0,3.9,4.5,52.0,116
Hyundai,Model_141,SUV - STANDARD,4.6,8,M,X,14.2,11.1,12.8,18.0,290
Toyota,Model_142,COMPACT,3.9,4,AV,X,9.9,7.7,8.9,26.0,208
GM,Model_143,STATION WAGON,1.0,8,A,D,4.0,3.0,3.5,67.0,97
GM,Model_144,STATION WAGON,6.3,4,A,Z,16.1,12.6,14.5,16.0,333
Honda,Model_145,MID-SIZE,3.8,4,A,X,10.9,8.5,9.8,24.0,233
Mercedes,Model_146,SUV - SMALL,3.3,6,A,E,14.3,11.2,12.9,18.0,297
Honda,Model_147,SUV - SMALL,1.9,4,AM,Z,6.0,4.7,5.4,44.0,124
Hyundai,Model_148,SUV - STANDARD,1.7,8,A,Z,7.6,5.9,6.8,35.0,163
VW,Model_149,MID-SIZE,3.5,4,AS,Z,9.9,7.7,8.9,26.0,203
VW,Model_150,MID-SIZE,5.3,4,AV,X,14.7,11.4,13.2,18.0,309
GM,Model_151,STATION WAGON,4.2,4,AM,N,10.7,8.4,9.7,24.0,229
GM,Model_152,STATION WAGON,3.2,4,AM,X,8.7,6.8,7.8,30.0,182
Ford,Model_153,SUV - SMALL,2.3,12,AV,Z,8.7,6.8,7.9,30.0,192
GM,Model_154,SUV - SMALL,2.7,4,A,Z,5.7,4.5,5.2,45.0,119
Honda,Model_155,STATION WAGON,6.1,6,AV,Z,16.6,12.9,14.9,16.0,349
Hyundai,Model_156,SUV - SMALL,1.7,4,AS,X,4.4,3.4,4.0,59.0,96
VW,Model_157,SUV - STANDARD,4.4,4,AV,D,10.1,7.9,9.1,26.0,243
Toyota,Model_158,SUV - STANDARD,6.1,8,A,X,17.3,13.5,15.6,15.0,354
Hyundai,Model_159,TWO-SEATER,2.4,4,AM,D,6.0,4.7,5.4,44.0,148
GM,Model_160,MID-SIZE,2.3,4,AS,X,7.4,5.8,6.7,35.0,156
GM,Model_161,MINIVAN,6.3,3,M,Z,15.7,12.2,14.1,17.0,323
Honda,Model_162,SUV - SMALL,5.4,4,A,X,14.2,11.1,12.8,18.0,285
Hyundai,Model_163,COMPACT,4.1,4,AS,X,11.8,9.2,10.6,22.0,253
Hyundai,Model_164,FULL-SIZE,6.4,4,AV,X,17.0,13.2,15.3,15.0,349
GM,Model_165,MID-SIZE,1.4,4,M,D,4.0,3.0,3.5,67.0,98
GM,Model_166,FULL-SIZE,3.9,8,AS,X,12.5,9.7,11.2,21.0,254
Ford,Model_167,PICKUP TRUCK,4.4,4,AV,Z,8.6,6.7,7.8,30.0,183
Hyundai,Model_168,SUV - SMALL,6.1,4,M,X,17.0,13.3,15.3,15.0,350
GM,Model_169,SUV - SMALL,3.7,4,AV,Z,11.7,9.1,10.5,22.0,244
Mercedes,Model_170,TWO-SEATER,2.2,6,AM,Z,7.4,5.7,6.6,36.0,151
BMW,Model_171,SUV - STANDARD,6.0,4,M,X,17.6,13.7,15.8,15.0,356
Hyundai,Model_172,SUV - STANDARD,5.7,4,AV,E,20.7,16.1,18.6,13.0,434
Toyota,Model_173,MID-SIZE,1.8,4,AV,Z,4.6,3.6,4.1,57.0,103
VW,Model_174,SUV - SMALL,5.6,4,A,Z,12.9,10.1,11.7,20.0,268
Toyota,Model_175,PICKUP TRUCK,4.9,4,M,Z,13.5,10.5,12.2,19.0,280
BMW,Model_176,TWO-SEATER,1.0,4,AS,D,4.0,3.0,3.5,67.0,92
Mercedes,Model_177,MID-SIZE,5.8,8,AV,E,22.2,17.3,20.0,12.0,468
VW,Model_178,MINIVAN,6.0,6,M,X,16.8,13.1,15.1,16.0,344
Honda,Model_179,COMPACT,6.2,4,AV,X,17.2,13.4,15.5,15.0,356
Hyundai,Model_180,COMPACT,2.8,4,A,X,7.9,6.1,7.1,33.0,164
BMW,Model_181,STATION WAGON,4.1,4,AM,Z,9.8,7.6,8.8,27.0,198
Honda,Model_182,MID-SIZE,4.4,4,AM,D,11.2,8.7,10.1,23.0,267
BMW,Model_183,FULL-SIZE,3.5,6,AV,Z,10.9,8.5,9.9,24.0,219
Toyota,Model_184,SUV - SMALL,1.9,6,AM,X,6.5,5.0,5.8,41.0,134
GM,Model_185,STATION WAGON,6.3,4,M,X,16.6,12.9,14.9,16.0,340
Mercedes,Model_186,SUV - STANDARD,6.1,8,AM,N,16.2,12.6,14.6,16.0,331
Ford,Model_187,MINIVAN,3.6,6,AV,X,10.0,7.8,9.0,26.0,207
Ford,Model_188,COMPACT,6.5,4,AM,Z,16.6,13.0,15.0,16.0,346
BMW,Model_189,MINIVAN,3.1,12,AV,D,10.0,7.8,9.0,26.0,245
Ford,Model_190,MID-SIZE,4.3,6,AS,X,11.0,8.6,9.9,24.0,227
Hyundai,Model_191,SUV - STANDARD,3.1,4,A,Z,7.8,6.1,7.0,34.0,164
GM,Model_192,PICKUP TRUCK,1.5,6,A,X,4.8,3.8,4.4,53.0,103
BMW,Model_193,TWO-SEATER,5.5,4,AM,Z,14.2,11.0,12.7,19.0,300
Hyundai,Model_194,STATION WAGON,4.1,8,AS,X,13.1,10.2,11.8,20.0,271
GM,Model_195,FULL-SIZE,5.7,4,AM,X,16.1,12.5,14.5,16.0,336
BMW,Model_196,SUV - SMALL,4.2,6,A,E,14.5,11.3,13.1,18.0,304
Hyundai,Model_197,MID-SIZE,4.3,8,M,Z,13.2,10.3,11.9,20.0,275
BMW,Model_198,MID-SIZE,6.4,8,A,X,17.1,13.3,15.4,15.0,360
GM,Model_199,COMPACT,5.0,4,A,N,12.0,9.4,10.8,22.0,243
Toyota,Model_200,MID-SIZE,3.6,8,AV,N,11.1,8.7,10.0,24.0,234
Toyota,Model_201,PICKUP TRUCK,3.9,8,A,X,11.8,9.2,10.6,22.0,243
Ford,Model_202,SUV - SMALL,5.6,6,AM,X,15.5,12.1,14.0,17.0,327
Ford,Model_203,TWO-SEATER,4.9,4,AS,Z,12.8,10.0,11.5,20.0,257
Honda,Model_204,TWO-SEATER,3.1,4,A,X,9.4,7.3,8.5,28.0,195
Hyundai,Model_205,SUV - STANDARD,5.6,8,M,D,13.1,10.2,11.8,20.0,318
Honda,Model_206,SUV - STANDARD,5.4,8,AM,X,15.6,12.2,14.1,17.0,323
Honda,Model_207,FULL-SIZE,3.5,4,AS,X,10.0,7.8,9.0,26.0,215
GM,Model_208,FULL-SIZE,1.6,4,A,X,5.1,4.0,4.6,51.0,115
Honda,Model_209,MID-SIZE,5.6,6,A,X,16.7,13.0,15.0,16.0,349
VW,Model_210,MINIVAN,4.2,4,AM,E,15.4,12.0,13.8,17.0,320
BMW,Model_211,PICKUP TRUCK,2.8,8,AM,Z,9.2,7.2,8.3,28.0,194
Toyota,Model_212,SUV - SMALL,3.8,8,A,Z,10.9,8.5,9.8,24.0,222
Hyundai,Model_213,STATION WAGON,1.6,6,A,Z,5.7,4.4,5.1,46.0,111
Hyundai,Model_214,MID-SIZE,6.3,12,AV,E,24.9,19.4,22.0,11.0,505
BMW,Model_215,MID-SIZE,5.9,8,AV,X,15.9,12.4,14.3,16.0,322
Toyota,Model_216,SUV - SMALL,1.4,4,AM,E,6.6,5.2,6.0,39.0,129
Honda,Model_217,COMPACT,3.6,6,AS,X,11.6,9.0,10.4,23.0,244
Ford,Model_218,PICKUP TRUCK,4.6,8,M,Z,12.8,10.0,11.5,20.0,266
GM,Model_219,STATION WAGON,4.2,8,M,Z,11.3,8.8,10.2,23.0,232
Honda,Model_220,TWO-SEATER,3.8,8,M,X,11.8,9.2,10.6,22.0,244
BMW,Model_221,MINIVAN,2.2,4,A,X,6.2,4.9,5.6,42.0,134
Hyundai,Model_222,PICKUP TRUCK,4.7,4,AM,X,12.0,9.4,10.8,22.0,245
Hyundai,Model_223,COMPACT,2.6,8,AV,X,9.3,7.3,8.4,28.0,193
GM,Model_224,MID-SIZE,1.1,8,AS,X,6.0,4.7,5.4,44.0,124
Ford,Model_225,FULL-SIZE,5.2,8,AS,D,14.1,11.0,12.7,19.0,337
Honda,Model_226,COMPACT,3.1,4,AV,Z,7.7,6.0,6.9,34.0,162
Honda,Model_227,SUV - SMALL,4.5,4,AV,X,12.9,10.1,11.7,20.0,271
BMW,Model_228,PICKUP TRUCK,1.8,4,AV,N,4.1,3.2,3.7,64.0,95
BMW,Model_229,TWO-SEATER,2.8,4,AS,Z,7.4,5.8,6.7,35.0,166
Hyundai,Model_230,SUV - SMALL,6.2,4,AM,D,14.1,11.0,12.7,19.0,335
Honda,Model_231,SUV - STANDARD,4.4,4,M,X,12.1,9.5,10.9,22.0,252
BMW,Model_232,MINIVAN,4.0,4,AM,E,15.6,12.2,14.1,17.0,323
VW,Model_233,FULL-SIZE,2.0,4,M,X,5.3,4.1,4.8,49.0,103
Toyota,Model_234,PICKUP TRUCK,3.3,8,A,X,10.3,8.0,9.3,25.0,216
VW,Model_235,STATION WAGON,4.4,4,A,Z,11.4,8.9,10.3,23.0,229
Toyota,Model_236,SUV - STANDARD,2.4,12,AV,Z,8.8,6.9,8.0,29.0,182
Mercedes,Model_237,SUV - STANDARD,5.6,8,M,Z,16.5,12.9,14.9,16.0,343
Hyundai,Model_238,MINIVAN,5.2,3,AV,Z,12.4,9.7,11.2,21.0,261
Honda,Model_239,TWO-SEATER,2.1,4,M,N,6.8,5.3,6.1,39.0,150
BMW,Model_240,SUV - STANDARD,6.2,6,A,Z,15.5,12.1,14.0,17.0,319
Mercedes,Model_241,FULL-SIZE,3.7,4,AV,X,12.5,9.7,11.3,21.0,258
Hyundai,Model_242,PICKUP TRUCK,5.3,4,M,X,15.0,11.7,13.5,17.0,314
BMW,Model_243,MID-SIZE,5.6,8,AV,Z,16.3,12.7,14.7,16.0,333
Mercedes,Model_244,STATION WAGON,5.5,4,AM,E,18.3,14.3,16.5,14.0,383
VW,Model_245,STATION WAGON,5.2,4,AM,Z,13.7,10.7,12.4,19.0,287
VW,Model_246,TWO-SEATER,1.4,6,AV,X,5.0,3.9,4.5,52.0,106
Toyota,Model_247,MID-SIZE,5.9,4,AV,D,13.5,10.6,12.2,19.0,335
Honda,Model_248,COMPACT,4.3,6,M,E,15.6,12.1,14.0,17.0,329
Ford,Model_249,TWO-SEATER,5.0,8,AS,N,13.0,10.2,11.7,20.0,272
VW,Model_250,TWO-SEATER,6.2,6,AV,Z,15.6,12.1,14.0,17.0,328
GM,Model_251,TWO-SEATER,5.2,4,AM,X,12.4,9.7,11.1,21.0,258
Toyota,Model_252,SUV - STANDARD,2.6,3,M,Z,6.2,4.8,5.6,42.0,129
GM,Model_253,SUV - SMALL,5.8,6,AV,Z,15.2,11.9,13.7,17.0,308
BMW,Model_254,SUV - SMALL,2.5,6,AV,X,6.5,5.1,5.9,40.0,136
BMW,Model_255,PICKUP TRUCK,4.1,4,AM,Z,10.7,8.3,9.6,25.0,218
BMW,Model_256,SUV - SMALL,1.7,6,AV,Z,6.5,5.1,5.9,40.0,142
Mercedes,Model_257,COMPACT,5.3,6,AV,X,14.2,11.1,12.8,18.0,299
Ford,Model_258,MID-SIZE,4.6,8,AS,Z,12.8,10.0,11.5,20.0,265
Ford,Model_259,PICKUP TRUCK,3.3,4,M,Z,9.5,7.4,8.5,28.0,200
VW,Model_260,FULL-SIZE,4.6,4,M,X,13.2,10.3,11.9,20.0,275
Mercedes,Model_261,TWO-SEATER,3.6,3,AS,D,8.4,6.6,7.6,31.0,206
Honda,Model_262,MINIVAN,5.8,4,AM,X,15.8,12.3,14.2,17.0,334
Ford,Model_263,MINIVAN,5.1,6,A,Z,14.0,10.9,12.6,19.0,293
Toyota,Model_264,COMPACT,2.2,4,AS,E,9.4,7.4,8.5,28.0,196
VW,Model_265,MID-SIZE,2.2,8,M,E,11.4,8.9,10.3,23.0,240
Honda,Model_266,STATION WAGON,1.8,8,AV,D,6.5,5.1,5.9,40.0,159
Mercedes,Model_267,SUV - STANDARD,3.9,4,AS,Z,9.6,7.5,8.7,27.0,193
Ford,Model_268,STATION WAGON,3.2,4,M,Z,8.0,6.3,7.2,33.0,165
GM,Model_269,COMPACT,5.5,4,A,Z,14.4,11.3,13.0,18.0,300
Hyundai,Model_270,STATION WAGON,5.8,6,AM,Z,15.6,12.2,14.1,17.0,329
Ford,Model_271,STATION WAGON,6.2,8,AM,X,17.2,13.4,15.5,15.0,361
Mercedes,Model_272,COMPACT,2.8,4,AM,X,7.9,6.2,7.1,33.0,164
Toyota,Model_273,STATION WAGON,3.1,4,AM,D,7.0,5.4,6.3,37.0,165
BMW,Model_274,MINIVAN,6.4,8,A,N,16.6,12.9,15.0,16.0,354
Hyundai,Model_275,TWO-SEATER,6.2,6,AM,X,18.8,14.7,17.0,14.0,390
Mercedes,Model_276,SUV - STANDARD,6.2,6,A,X,17.1,13.3,15.4,15.0,352
Toyota,Model_277,PICKUP TRUCK,2.6,4,AS,Z,6.4,5.0,5.8,41.0,136
Honda,Model_278,MINIVAN,3.3,4,AS,Z,9.0,7.0,8.1,29.0,189
GM,Model_279,SUV - STANDARD,3.6,4,AM,E,16.4,12.8,14.8,16.0,347
Mercedes,Model_280,FULL-SIZE,1.7,6,AM,Z,5.7,4.4,5.1,46.0,116
Toyota,Model_281,MINIVAN,3.5,4,AV,Z,9.7,7.5,8.7,27.0,202
BMW,Model_282,PICKUP TRUCK,1.1,4,AV,X,4.0,3.0,3.5,67.0,89
BMW,Model_283,STATION WAGON,6.0,4,AS,D,12.7,9.9,11.4,21.0,307
Ford,Model_284,COMPACT,1.7,4,A,X,5.7,4.4,5.1,46.0,112
Toyota,Model_285,TWO-SEATER,5.0,4,AM,X,13.8,10.7,12.4,19.0,279
VW,Model_286,TWO-SEATER,3.6,4,AM,X,9.9,7.7,8.9,26.0,206
GM,Model_287,SUV - SMALL,3.1,4,AM,Z,8.9,6.9,8.0,29.0,186
BMW,Model_288,PICKUP TRUCK,1.9,4,M,Z,5.3,4.2,4.8,49.0,120
Mercedes,Model_289,FULL-SIZE,2.8,6,A,Z,10.7,8.4,9.7,24.0,226
BMW,Model_290,TWO-SEATER,3.8,4,AS,D,9.3,7.2,8.4,28.0,233
Hyundai,Model_291,MINIVAN,2.4,4,AV,Z,7.1,5.6,6.4,37.0,155
GM,Model_292,MINIVAN,5.5,6,M,Z,15.1,11.8,13.6,17.0,314
